#Parameters = {g_w=0.1; m_th=0.01; lin_w=0.57; er=2.33; lamb=20; subs_th=0.2; subs_l=10; subs_w=10; Patch_length=6.3548709179955; Patch_width=5.7348835113618; x_shift=0.5; y_shift=0}
#"Frequency / GHz"	"Z1,1 [Re]"	"Z1,1 [Im]"
#-----------------------------------------
14.171999931335	4.3599903901721	-139.54396061390
14.175999641418	4.3847605742447	-139.17067035206
14.180000305176	4.4055344712913	-138.80026646684
14.184000015259	4.4221712428398	-138.43229112643
14.187999725342	4.4345572302862	-138.06625044371
14.192000389099	4.4426043287759	-137.70166940044
14.196000099182	4.4463405061067	-137.33805641609
14.199999809265	4.4457628945962	-136.97495490805
14.204000473022	4.4409830974188	-136.61183714913
14.208000183105	4.4321602159686	-136.24829142546
14.211999893188	4.4194490254191	-135.88382401701
14.215999603271	4.4030866697296	-135.51803817906
14.220000267029	4.3833392495068	-135.15052603769
14.223999977112	4.3605095466907	-134.78094752604
14.227999687195	4.3349539402833	-134.40895925687
14.232000350952	4.3070463794925	-134.03428367688
14.236000061035	4.2771694643193	-133.65666457346
14.239999771118	4.2457656073688	-133.27590068065
14.244000434875	4.2132675769424	-132.89186143715
14.248000144958	4.1800983673038	-132.50441755101
14.251999855042	4.1467226083531	-132.11354171714
14.255999565125	4.1136195290114	-131.71919684527
14.260000228882	4.0811997637487	-131.32142053232
14.263999938965	4.0499069685933	-130.92032199402
14.267999649048	4.0201504189585	-130.51603118511
14.272000312805	3.9923550757577	-130.10869728951
14.276000022888	3.9668811785839	-129.69857095287
14.279999732971	3.9440971136564	-129.28587833773
14.284000396729	3.9242922938071	-128.87091222186
14.288000106812	3.9077507174565	-128.45397242323
14.291999816895	3.8947129896158	-128.03542224724
14.295999526978	3.8853999315415	-127.61561462723
14.300000190735	3.8799664237236	-127.19490961163
14.303999900818	3.8785302163773	-126.77376003539
14.307999610901	3.8811653946287	-126.35247508971
14.312000274658	3.8878862328413	-125.93140397236
14.315999984741	3.8987154291847	-125.51120298665
14.319999694824	3.9135833979665	-125.09205547401
14.324000358582	3.9323941774191	-124.67431709164
14.328000068665	3.9550159169615	-124.25855781540
14.331999778748	3.9812766104352	-123.84484615650
14.336000442505	4.0109652719933	-123.43366599407
14.340000152588	4.0438495399570	-123.02533662775
14.343999862671	4.0796630878305	-122.62007798572
14.347999572754	4.1180992685350	-122.21825894663
14.352000236511	4.1588357660835	-121.81995776283
14.355999946594	4.2015540423321	-121.42529124558
14.359999656677	4.2458714276811	-121.03457249320
14.364000320435	4.2914536129644	-120.64773899055
14.368000030518	4.3378947224189	-120.26501457198
14.371999740601	4.3848301165561	-119.88621044923
14.376000404358	4.4318865076545	-119.51155571628
14.380000114441	4.4786754151215	-119.14083950177
14.383999824524	4.5248309829554	-118.77404280678
14.387999534607	4.5700021267826	-118.41093855145
14.392000198364	4.6138218138215	-118.05131726072
14.395999908447	4.6560122671412	-117.69518641308
14.399999618530	4.6962497006005	-117.34213629003
14.404000282288	4.7342373666795	-116.99193949864
14.407999992371	4.7697468717427	-116.64427895382
14.411999702454	4.8025600098765	-116.29892756350
14.416000366211	4.8324890601794	-115.95544181364
14.420000076294	4.8594039092906	-115.61359308822
14.423999786377	4.8831495978243	-115.27278720325
14.428000450134	4.9037074990533	-114.93296024508
14.432000160217	4.9210082343447	-114.59338844685
14.435999870300	4.9350629387909	-114.25386816737
14.439999580383	4.9459217708049	-113.91405383117
14.444000244141	4.9536694875798	-113.57344783659
14.447999954224	4.9584286356353	-113.23173451518
14.451999664307	4.9603575986356	-112.88856491308
14.456000328064	4.9596418966494	-112.54359784028
14.460000038147	4.9565228165714	-112.19652147747
14.463999748230	4.9512506837308	-111.84705244513
14.468000411987	4.9440974011154	-111.49493328553
14.472000122070	4.9353845370871	-111.13990801557
14.475999832153	4.9254419328566	-110.78183687112
14.479999542236	4.9146078537429	-110.42052741883
14.484000205994	4.9032248604337	-110.05587605210
14.487999916077	4.8916816091322	-109.68780827347
14.491999626160	4.8803300233678	-109.31624044621
14.496000289917	4.8695519494599	-108.94121309481
14.500000000000	4.8596863354279	-108.56275004519
14.503999710083	4.8511004576236	-108.18090878350
14.508000373840	4.8441457397149	-107.79581115885
14.512000083923	4.8391314194776	-107.40759116965
14.515999794006	4.8363794308581	-107.01642154052
14.520000457764	4.8361589278630	-106.62251813492
14.524000167847	4.8387494816332	-106.22607919175
14.527999877930	4.8443288501846	-105.82739078391
14.531999588013	4.8531478757282	-105.42672033445
14.536000251770	4.8653500361323	-105.02434521133
14.539999961853	4.8810727770538	-104.62059892574
14.543999671936	4.9004188017500	-104.21575204136
14.548000335693	4.9234286482959	-103.81016053932
14.552000045776	4.9501403761140	-103.40411834520
14.555999755859	4.9805578071368	-102.99798163976
14.560000419617	5.0146280201303	-102.59202910247
14.564000129700	5.0522649147881	-102.18659186573
14.567999839783	5.0933657189921	-101.78194099852
14.571999549866	5.1377986205611	-101.37838334789
14.576000213623	5.1853749760246	-100.97616093799
14.579999923706	5.2359197319162	-100.57553277316
14.583999633789	5.2891821341710	-100.17668451124
